min_x_mm,min_y_mm,min_z_mm,size_x_mm,size_y_mm,size_z_mm,center_x_mm,center_y_mm,center_z_mm
-631.29,-1244.48,-1742.01,300.00,200.00,100.00,-526.13,-1095.93,-1698.71
-623.38,-1245.47,-1642.33,300.00,200.00,100.00,-518.22,-1096.93,-1599.03
-615.48,-1246.47,-1542.65,300.00,200.00,100.00,-510.32,-1097.92,-1499.35
-607.58,-1247.46,-1442.97,300.00,200.00,100.00,-502.41,-1098.92,-1399.66
-706.09,-1059.15,-1734.23,300.00,200.00,100.00,-600.92,-910.61,-1690.93
-698.18,-1060.15,-1634.55,300.00,200.00,100.00,-593.02,-911.60,-1591.25
-690.28,-1061.14,-1534.87,300.00,200.00,100.00,-585.11,-912.60,-1491.57
-682.37,-1062.14,-1435.19,300.00,200.00,100.00,-577.21,-913.59,-1391.88
-780.88,-873.83,-1726.45,300.00,200.00,100.00,-675.72,-725.28,-1683.15
-772.98,-874.82,-1626.77,300.00,200.00,100.00,-667.82,-726.28,-1583.47
-765.07,-875.82,-1527.09,300.00,200.00,100.00,-659.91,-727.27,-1483.78
-757.17,-876.81,-1427.40,300.00,200.00,100.00,-652.01,-728.27,-1384.10
-855.68,-688.50,-1718.67,300.00,200.00,100.00,-750.52,-539.96,-1675.37
-847.78,-689.50,-1618.99,300.00,200.00,100.00,-742.61,-540.95,-1575.69
-839.87,-690.49,-1519.31,300.00,200.00,100.00,-734.71,-541.95,-1476.00
-831.97,-691.49,-1419.62,300.00,200.00,100.00,-726.80,-542.94,-1376.32
-930.48,-503.18,-1710.89,300.00,200.00,100.00,-825.32,-354.64,-1667.59
-922.57,-504.18,-1611.21,300.00,200.00,100.00,-817.41,-355.63,-1567.90
-914.67,-505.17,-1511.52,300.00,200.00,100.00,-809.51,-356.63,-1468.22
-906.76,-506.17,-1411.84,300.00,200.00,100.00,-801.60,-357.62,-1368.54
-1005.27,-317.86,-1703.11,300.00,200.00,100.00,-900.11,-169.31,-1659.81
-997.37,-318.85,-1603.43,300.00,200.00,100.00,-892.21,-170.31,-1560.12
-989.47,-319.85,-1503.74,300.00,200.00,100.00,-884.30,-171.30,-1460.44
-981.56,-320.84,-1404.06,300.00,200.00,100.00,-876.40,-172.30,-1360.76
-1080.07,-132.53,-1695.33,300.00,200.00,100.00,-974.91,16.01,-1652.02
-1072.17,-133.53,-1595.64,300.00,200.00,100.00,-967.00,15.02,-1552.34
-1064.26,-134.52,-1495.96,300.00,200.00,100.00,-959.10,14.02,-1452.66
-1056.36,-135.52,-1396.28,300.00,200.00,100.00,-951.19,13.03,-1352.98
-354.07,-1131.71,-1762.87,300.00,200.00,100.00,-248.91,-983.17,-1719.57
-346.17,-1132.71,-1663.19,300.00,200.00,100.00,-241.00,-984.16,-1619.89
-338.26,-1133.70,-1563.51,300.00,200.00,100.00,-233.10,-985.16,-1520.20
-330.36,-1134.70,-1463.82,300.00,200.00,100.00,-225.19,-986.15,-1420.52
-428.87,-946.39,-1755.09,300.00,200.00,100.00,-323.71,-797.85,-1711.79
-420.96,-947.39,-1655.41,300.00,200.00,100.00,-315.80,-798.84,-1612.11
-413.06,-948.38,-1555.73,300.00,200.00,100.00,-307.90,-799.84,-1512.42
-405.15,-949.38,-1456.04,300.00,200.00,100.00,-299.99,-800.83,-1412.74
-503.67,-761.07,-1747.31,300.00,200.00,100.00,-398.50,-612.52,-1704.01
-495.76,-762.06,-1647.63,300.00,200.00,100.00,-390.60,-613.52,-1604.32
-487.86,-763.06,-1547.94,300.00,200.00,100.00,-382.69,-614.51,-1504.64
-479.95,-764.05,-1448.26,300.00,200.00,100.00,-374.79,-615.51,-1404.96
-578.46,-575.74,-1739.53,300.00,200.00,100.00,-473.30,-427.20,-1696.23
-570.56,-576.74,-1639.85,300.00,200.00,100.00,-465.40,-428.19,-1596.54
-562.65,-577.73,-1540.16,300.00,200.00,100.00,-457.49,-429.19,-1496.86
-554.75,-578.73,-1440.48,300.00,200.00,100.00,-449.59,-430.18,-1397.18
